No.,正誤,分野名,大分類,中分類,出典
1,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q2.html"",""平成29年秋期 問2"")"
2,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q4.html"",""平成29年秋期 問4"")"
3,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q6.html"",""平成29年秋期 問6"")"
4,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q8.html"",""平成29年秋期 問8"")"
5,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q10.html"",""平成29年秋期 問10"")"
6,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q12.html"",""平成29年秋期 問12"")"
7,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q13.html"",""平成29年秋期 問13"")"
8,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q16.html"",""平成29年秋期 問16"")"
9,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q17.html"",""平成29年秋期 問17"")"
10,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q20.html"",""平成29年秋期 問20"")"
11,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q22.html"",""平成29年秋期 問22"")"
12,○,テクノロジ系,技術要素,ヒューマンインタフェース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q24.html"",""平成29年秋期 問24"")"
13,○,テクノロジ系,技術要素,マルチメディア,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q25.html"",""平成29年秋期 問25"")"
14,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q27.html"",""平成29年秋期 問27"")"
15,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q29.html"",""平成29年秋期 問29"")"
16,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""http://www.ap-siken.com/kakomon/29_aki/q31.html"",""平成29年秋期 問31"")"
